"Plot Title: AV14-S5"
"#","Date Time, GMT-07:00","Temp, °C (LGR S/N: 10578650, SEN S/N: 10578650, LBL: TEMP)","Intensity, Lux (LGR S/N: 10578650, SEN S/N: 10578650, LBL: LIGHT INTENSITY)","Coupler Attached (LGR S/N: 10578650)","Host Connected (LGR S/N: 10578650)","Stopped (LGR S/N: 10578650)","End Of File (LGR S/N: 10578650)"
50,09/22/15 04:00:00 PM,7.582,1550.0,,,,
51,09/22/15 07:00:00 PM,7.280,10.8,,,,
52,09/22/15 10:00:00 PM,5.962,0.0,,,,
53,09/23/15 01:00:00 AM,5.347,0.0,,,,
54,09/23/15 04:00:00 AM,5.244,0.0,,,,
55,09/23/15 07:00:00 AM,4.934,10.8,,,,
56,09/23/15 10:00:00 AM,6.166,1550.0,,,,
57,09/23/15 01:00:00 PM,7.381,549.0,,,,
58,09/23/15 04:00:00 PM,8.879,721.2,,,,
59,09/23/15 07:00:00 PM,8.879,10.8,,,,
60,09/23/15 10:00:00 PM,8.182,0.0,,,,
61,09/24/15 01:00:00 AM,7.983,0.0,,,,
62,09/24/15 04:00:00 AM,7.582,0.0,,,,
63,09/24/15 07:00:00 AM,7.381,10.8,,,,
64,09/24/15 10:00:00 AM,8.382,710.4,,,,
65,09/24/15 01:00:00 PM,9.373,592.0,,,,
66,09/24/15 04:00:00 PM,10.553,527.4,,,,
67,09/24/15 07:00:00 PM,10.651,10.8,,,,
68,09/24/15 10:00:00 PM,9.866,0.0,,,,
69,09/25/15 01:00:00 AM,9.669,0.0,,,,
70,09/25/15 04:00:00 AM,9.571,0.0,,,,
71,09/25/15 07:00:00 AM,9.472,0.0,,,,
72,09/25/15 10:00:00 AM,9.571,355.2,,,,
73,09/25/15 01:00:00 PM,9.077,398.3,,,,
74,09/25/15 04:00:00 PM,8.879,624.3,,,,
75,09/25/15 07:00:00 PM,8.581,0.0,,,,
76,09/25/15 10:00:00 PM,8.382,0.0,,,,
77,09/26/15 01:00:00 AM,7.682,0.0,,,,
78,09/26/15 04:00:00 AM,7.381,0.0,,,,
79,09/26/15 07:00:00 AM,6.978,10.8,,,,
80,09/26/15 10:00:00 AM,5.552,678.1,,,,
81,09/26/15 01:00:00 PM,6.268,1722.2,,,,
82,09/26/15 04:00:00 PM,7.381,1184.0,,,,
83,09/26/15 07:00:00 PM,5.962,10.8,,,,
84,09/26/15 10:00:00 PM,5.244,0.0,,,,
85,09/27/15 01:00:00 AM,4.519,0.0,,,,
86,09/27/15 04:00:00 AM,3.261,0.0,,,,
87,09/27/15 07:00:00 AM,3.261,10.8,,,,
88,09/27/15 10:00:00 AM,3.788,376.7,,,,
89,09/27/15 01:00:00 PM,4.934,527.4,,,,
90,09/27/15 04:00:00 PM,5.962,193.8,,,,
91,09/27/15 07:00:00 PM,6.166,0.0,,,,
92,09/27/15 10:00:00 PM,5.860,0.0,,,,
93,09/28/15 01:00:00 AM,5.860,0.0,,,,
94,09/28/15 04:00:00 AM,5.655,0.0,,,,
95,09/28/15 07:00:00 AM,5.347,10.8,,,,
96,09/28/15 10:00:00 AM,6.064,376.7,,,,
97,09/28/15 01:00:00 PM,7.179,538.2,,,,
98,09/28/15 04:00:00 PM,8.082,193.8,,,,
99,09/28/15 07:00:00 PM,8.182,0.0,,,,
100,09/28/15 10:00:00 PM,8.182,0.0,,,,
101,09/29/15 01:00:00 AM,7.983,0.0,,,,
102,09/29/15 04:00:00 AM,7.782,0.0,,,,
103,09/29/15 07:00:00 AM,7.682,0.0,,,,
104,09/29/15 10:00:00 AM,8.481,366.0,,,,
105,09/29/15 01:00:00 PM,9.373,527.4,,,,
106,09/29/15 04:00:00 PM,10.161,193.8,,,,
107,09/29/15 07:00:00 PM,9.965,0.0,,,,
108,09/29/15 10:00:00 PM,9.571,0.0,,,,
109,09/30/15 01:00:00 AM,9.373,0.0,,,,
110,09/30/15 04:00:00 AM,9.176,0.0,,,,
111,09/30/15 07:00:00 AM,8.879,0.0,,,,
112,09/30/15 10:00:00 AM,9.176,366.0,,,,
113,09/30/15 01:00:00 PM,10.063,527.4,,,,
114,09/30/15 04:00:00 PM,10.553,215.3,,,,
115,09/30/15 07:00:00 PM,10.063,0.0,,,,
116,09/30/15 10:00:00 PM,9.571,0.0,,,,
117,10/01/15 01:00:00 AM,9.176,0.0,,,,
118,10/01/15 04:00:00 AM,8.779,0.0,,,,
119,10/01/15 07:00:00 AM,8.382,0.0,,,,
120,10/01/15 10:00:00 AM,8.978,376.7,,,,
121,10/01/15 01:00:00 PM,9.866,538.2,,,,
122,10/01/15 04:00:00 PM,10.455,226.0,,,,
123,10/01/15 07:00:00 PM,10.259,0.0,,,,
124,10/01/15 10:00:00 PM,9.472,0.0,,,,
125,10/02/15 01:00:00 AM,8.978,0.0,,,,
126,10/02/15 04:00:00 AM,8.282,0.0,,,,
127,10/02/15 07:00:00 AM,7.882,32.3,,,,
128,10/02/15 10:00:00 AM,8.382,1722.2,,,,
129,10/02/15 01:00:00 PM,9.077,1636.1,,,,
130,10/02/15 04:00:00 PM,8.978,1550.0,,,,
131,10/02/15 07:00:00 PM,8.082,0.0,,,,
132,10/02/15 10:00:00 PM,8.082,0.0,,,,
133,10/03/15 01:00:00 AM,7.481,0.0,,,,
134,10/03/15 04:00:00 AM,6.877,0.0,,,,
135,10/03/15 07:00:00 AM,6.775,0.0,,,,
136,10/03/15 10:00:00 AM,6.877,398.3,,,,
137,10/03/15 01:00:00 PM,7.983,2238.9,,,,
138,10/03/15 04:00:00 PM,8.282,1119.5,,,,
139,10/03/15 07:00:00 PM,8.382,0.0,,,,
140,10/03/15 10:00:00 PM,8.481,0.0,,,,
141,10/04/15 01:00:00 AM,8.082,0.0,,,,
142,10/04/15 04:00:00 AM,7.983,0.0,,,,
143,10/04/15 07:00:00 AM,7.882,0.0,,,,
144,10/04/15 10:00:00 AM,8.481,398.3,,,,
145,10/04/15 01:00:00 PM,9.373,635.1,,,,
146,10/04/15 04:00:00 PM,9.965,172.2,,,,
147,10/04/15 07:00:00 PM,9.866,0.0,,,,
148,10/04/15 10:00:00 PM,9.472,0.0,,,,
149,10/05/15 01:00:00 AM,9.275,0.0,,,,
150,10/05/15 04:00:00 AM,8.879,0.0,,,,
151,10/05/15 07:00:00 AM,8.779,0.0,,,,
152,10/05/15 10:00:00 AM,9.077,312.2,,,,
153,10/05/15 01:00:00 PM,10.259,818.1,,,,
154,10/05/15 04:00:00 PM,11.236,688.9,,,,
155,10/05/15 07:00:00 PM,11.041,0.0,,,,
156,10/05/15 10:00:00 PM,10.748,0.0,,,,
157,10/06/15 01:00:00 AM,10.063,0.0,,,,
158,10/06/15 04:00:00 AM,9.866,0.0,,,,
159,10/06/15 07:00:00 AM,10.161,0.0,,,,
160,10/06/15 10:00:00 AM,10.748,1248.6,,,,
161,10/06/15 01:00:00 PM,11.528,1894.5,,,,
162,10/06/15 04:00:00 PM,12.013,1011.8,,,,
163,10/06/15 07:00:00 PM,10.944,0.0,,,,
164,10/06/15 10:00:00 PM,10.259,0.0,,,,
165,10/07/15 01:00:00 AM,9.669,0.0,,,,
166,10/07/15 04:00:00 AM,9.866,0.0,,,,
167,10/07/15 07:00:00 AM,9.472,0.0,,,,
168,10/07/15 10:00:00 AM,10.063,150.7,,,,
169,10/07/15 01:00:00 PM,10.161,301.4,,,,
170,10/07/15 04:00:00 PM,11.236,1108.7,,,,
171,10/07/15 07:00:00 PM,11.041,0.0,,,,
172,10/07/15 10:00:00 PM,11.139,0.0,,,,
173,10/08/15 01:00:00 AM,11.041,0.0,,,,
174,10/08/15 04:00:00 AM,9.866,0.0,,,,
175,10/08/15 07:00:00 AM,9.275,0.0,,,,
176,10/08/15 10:00:00 AM,9.965,925.7,,,,
177,10/08/15 01:00:00 PM,11.528,1894.5,,,,
178,10/08/15 04:00:00 PM,12.110,1248.6,,,,
179,10/08/15 07:00:00 PM,11.041,0.0,,,,
180,10/08/15 10:00:00 PM,10.259,0.0,,,,
181,10/09/15 01:00:00 AM,9.571,0.0,,,,
182,10/09/15 04:00:00 AM,9.965,0.0,,,,
183,10/09/15 07:00:00 AM,10.063,0.0,,,,
184,10/09/15 10:00:00 AM,11.041,947.2,,,,
185,10/09/15 01:00:00 PM,11.625,764.2,,,,
186,10/09/15 04:00:00 PM,12.497,301.4,,,,
187,10/09/15 07:00:00 PM,12.497,0.0,,,,
188,10/09/15 10:00:00 PM,11.431,0.0,,,,
189,10/10/15 01:00:00 AM,11.334,0.0,,,,
190,10/10/15 04:00:00 AM,11.431,0.0,,,,
191,10/10/15 07:00:00 AM,11.528,0.0,,,,
192,10/10/15 10:00:00 AM,12.013,613.5,,,,
193,10/10/15 01:00:00 PM,11.528,269.1,,,,
194,10/10/15 04:00:00 PM,9.275,43.1,,,,
195,10/10/15 07:00:00 PM,8.382,0.0,,,,
196,10/10/15 10:00:00 PM,7.582,0.0,,,,
197,10/11/15 01:00:00 AM,7.481,0.0,,,,
198,10/11/15 04:00:00 AM,6.268,0.0,,,,
199,10/11/15 07:00:00 AM,5.655,0.0,,,,
200,10/11/15 10:00:00 AM,4.311,247.6,,,,
201,10/11/15 01:00:00 PM,5.655,1377.8,,,,
202,10/11/15 04:00:00 PM,6.978,1194.8,,,,
203,10/11/15 07:00:00 PM,7.381,0.0,,,,
204,10/11/15 10:00:00 PM,6.877,0.0,,,,
205,10/12/15 01:00:00 AM,6.471,0.0,,,,
206,10/12/15 04:00:00 AM,6.471,0.0,,,,
207,10/12/15 07:00:00 AM,6.573,0.0,,,,
208,10/12/15 10:00:00 AM,6.674,150.7,,,,
209,10/12/15 01:00:00 PM,8.282,1894.5,,,,
210,10/12/15 04:00:00 PM,9.768,1205.6,,,,
211,10/12/15 07:00:00 PM,9.571,0.0,,,,
212,10/12/15 10:00:00 PM,9.571,0.0,,,,
213,10/13/15 01:00:00 AM,9.866,0.0,,,,
214,10/13/15 04:00:00 AM,9.866,0.0,,,,
215,10/13/15 07:00:00 AM,9.768,0.0,,,,
216,10/13/15 10:00:00 AM,9.866,1324.0,,,,
217,10/13/15 01:00:00 PM,9.768,1065.6,,,,
218,10/13/15 04:00:00 PM,9.275,247.6,,,,
219,10/13/15 07:00:00 PM,8.779,0.0,,,,
220,10/13/15 10:00:00 PM,5.244,0.0,,,,
221,10/14/15 01:00:00 AM,4.727,0.0,,,,
222,10/14/15 04:00:00 AM,4.934,0.0,,,,
223,10/14/15 07:00:00 AM,4.831,0.0,,,,
224,10/14/15 10:00:00 AM,5.655,398.3,,,,
225,10/14/15 01:00:00 PM,6.877,559.7,,,,
226,10/14/15 04:00:00 PM,7.983,807.3,,,,
227,10/14/15 07:00:00 PM,7.983,0.0,,,,
228,10/14/15 10:00:00 PM,8.282,0.0,,,,
229,10/15/15 01:00:00 AM,8.481,0.0,,,,
230,10/15/15 04:00:00 AM,8.978,0.0,,,,
231,10/15/15 07:00:00 AM,9.275,0.0,,,,
232,10/15/15 10:00:00 AM,10.063,570.5,,,,
233,10/15/15 01:00:00 PM,10.651,559.7,,,,
234,10/15/15 04:00:00 PM,11.334,226.0,,,,
235,10/15/15 07:00:00 PM,11.528,0.0,,,,
236,10/15/15 10:00:00 PM,11.236,0.0,,,,
237,10/16/15 01:00:00 AM,11.041,0.0,,,,
238,10/16/15 04:00:00 AM,11.041,0.0,,,,
239,10/16/15 07:00:00 AM,11.236,0.0,,,,
240,10/16/15 10:00:00 AM,11.916,193.8,,,,
241,10/16/15 01:00:00 PM,12.594,516.7,,,,
242,10/16/15 04:00:00 PM,13.365,258.3,,,,
243,10/16/15 07:00:00 PM,13.076,0.0,,,,
244,10/16/15 10:00:00 PM,12.883,0.0,,,,
245,10/17/15 01:00:00 AM,12.401,0.0,,,,
246,10/17/15 04:00:00 AM,12.304,0.0,,,,
247,10/17/15 07:00:00 AM,11.528,0.0,,,,
248,10/17/15 10:00:00 AM,12.013,861.1,,,,
249,10/17/15 01:00:00 PM,12.883,775.0,,,,
250,10/17/15 04:00:00 PM,12.594,1065.6,,,,
251,10/17/15 07:00:00 PM,11.041,0.0,,,,
252,10/17/15 10:00:00 PM,10.553,0.0,,,,
253,10/18/15 01:00:00 AM,10.357,0.0,,,,
254,10/18/15 04:00:00 AM,9.571,0.0,,,,
255,10/18/15 07:00:00 AM,9.373,0.0,,,,
256,10/18/15 10:00:00 AM,9.373,678.1,,,,
257,10/18/15 01:00:00 PM,9.965,818.1,,,,
258,10/18/15 04:00:00 PM,10.259,796.5,,,,
259,10/18/15 07:00:00 PM,9.965,0.0,,,,
260,10/18/15 10:00:00 PM,9.768,0.0,,,,
261,10/19/15 01:00:00 AM,9.669,0.0,,,,
262,10/19/15 04:00:00 AM,9.571,0.0,,,,
263,10/19/15 07:00:00 AM,9.373,0.0,,,,
264,10/19/15 10:00:00 AM,9.472,656.6,,,,
265,10/19/15 01:00:00 PM,9.571,1076.4,,,,
266,10/19/15 04:00:00 PM,9.965,613.5,,,,
267,10/19/15 07:00:00 PM,9.768,0.0,,,,
268,10/19/15 10:00:00 PM,9.472,0.0,,,,
269,10/20/15 01:00:00 AM,9.275,0.0,,,,
270,10/20/15 04:00:00 AM,9.077,0.0,,,,
271,10/20/15 07:00:00 AM,7.682,0.0,,,,
272,10/20/15 10:00:00 AM,6.877,236.8,,,,
273,10/20/15 01:00:00 PM,7.682,538.2,,,,
274,10/20/15 04:00:00 PM,8.382,312.2,,,,
275,10/20/15 07:00:00 PM,8.182,0.0,,,,
276,10/20/15 10:00:00 PM,6.775,0.0,,,,
277,10/21/15 01:00:00 AM,6.674,0.0,,,,
278,10/21/15 04:00:00 AM,6.674,0.0,,,,
279,10/21/15 07:00:00 AM,6.775,0.0,,,,
280,10/21/15 10:00:00 AM,7.782,1173.3,,,,
281,10/21/15 01:00:00 PM,8.978,1463.9,,,,
282,10/21/15 04:00:00 PM,8.978,721.2,,,,
283,10/21/15 07:00:00 PM,8.879,0.0,,,,
284,10/21/15 10:00:00 PM,8.082,0.0,,,,
285,10/22/15 01:00:00 AM,7.682,0.0,,,,
286,10/22/15 04:00:00 AM,6.268,0.0,,,,
287,10/22/15 07:00:00 AM,5.037,0.0,,,,
288,10/22/15 10:00:00 AM,4.207,193.8,,,,
289,10/22/15 01:00:00 PM,5.037,258.3,,,,
290,10/22/15 04:00:00 PM,5.757,355.2,,,,
291,10/22/15 07:00:00 PM,5.450,0.0,,,,
292,10/22/15 10:00:00 PM,4.207,0.0,,,,
293,10/23/15 01:00:00 AM,3.893,0.0,,,,
294,10/23/15 04:00:00 AM,3.788,0.0,,,,
295,10/23/15 07:00:00 AM,3.998,0.0,,,,
296,10/23/15 10:00:00 AM,4.727,753.5,,,,
297,10/23/15 01:00:00 PM,6.775,2238.9,,,,
298,10/23/15 04:00:00 PM,7.280,925.7,,,,
299,10/23/15 07:00:00 PM,6.775,0.0,,,,
300,10/23/15 10:00:00 PM,6.471,0.0,,,,
301,10/24/15 01:00:00 AM,6.268,0.0,,,,
302,10/24/15 04:00:00 AM,5.962,0.0,,,,
303,10/24/15 07:00:00 AM,5.962,0.0,,,,
304,10/24/15 10:00:00 AM,6.978,473.6,,,,
305,10/24/15 01:00:00 PM,8.082,1463.9,,,,
306,10/24/15 04:00:00 PM,8.182,366.0,,,,
307,10/24/15 07:00:00 PM,7.682,0.0,,,,
308,10/24/15 10:00:00 PM,7.280,0.0,,,,
309,10/25/15 01:00:00 AM,7.582,0.0,,,,
310,10/25/15 04:00:00 AM,7.481,0.0,,,,
311,10/25/15 07:00:00 AM,7.381,0.0,,,,
312,10/25/15 10:00:00 AM,7.983,914.9,,,,
313,10/25/15 01:00:00 PM,9.373,1356.3,,,,
314,10/25/15 04:00:00 PM,8.481,183.0,,,,
315,10/25/15 07:00:00 PM,7.882,0.0,,,,
316,10/25/15 10:00:00 PM,7.882,0.0,,,,
317,10/26/15 01:00:00 AM,5.757,0.0,,,,
318,10/26/15 04:00:00 AM,5.244,0.0,,,,
319,10/26/15 07:00:00 AM,4.727,0.0,,,,
320,10/26/15 10:00:00 AM,5.244,1108.7,,,,
321,10/26/15 01:00:00 PM,6.370,1722.2,,,,
322,10/26/15 04:00:00 PM,6.674,581.3,,,,
323,10/26/15 07:00:00 PM,5.962,0.0,,,,
324,10/26/15 10:00:00 PM,5.860,0.0,,,,
325,10/27/15 01:00:00 AM,5.450,0.0,,,,
326,10/27/15 04:00:00 AM,4.934,0.0,,,,
327,10/27/15 07:00:00 AM,4.415,0.0,,,,
328,10/27/15 10:00:00 AM,5.244,592.0,,,,
329,10/27/15 01:00:00 PM,6.573,570.5,,,,
330,10/27/15 04:00:00 PM,6.978,785.8,,,,
331,10/27/15 07:00:00 PM,6.370,0.0,,,,
332,10/27/15 10:00:00 PM,6.268,0.0,,,,
333,10/28/15 01:00:00 AM,6.978,0.0,,,,
334,10/28/15 04:00:00 AM,7.179,0.0,,,,
335,10/28/15 07:00:00 AM,7.179,0.0,,,,
336,10/28/15 10:00:00 AM,6.978,1044.1,,,,
337,10/28/15 01:00:00 PM,7.079,462.9,,,,
338,10/28/15 04:00:00 PM,6.978,193.8,,,,
339,10/28/15 07:00:00 PM,5.860,0.0,,,,
340,10/28/15 10:00:00 PM,5.655,0.0,,,,
341,10/29/15 01:00:00 AM,5.860,0.0,,,,
342,10/29/15 04:00:00 AM,6.166,0.0,,,,
343,10/29/15 07:00:00 AM,6.268,0.0,,,,
344,10/29/15 10:00:00 AM,6.573,1151.7,,,,
345,10/29/15 01:00:00 PM,7.179,1550.0,,,,
346,10/29/15 04:00:00 PM,7.280,204.5,,,,
347,10/29/15 07:00:00 PM,7.280,0.0,,,,
348,10/29/15 10:00:00 PM,7.381,0.0,,,,
349,10/30/15 01:00:00 AM,7.179,0.0,,,,
350,10/30/15 04:00:00 AM,6.166,0.0,,,,
351,10/30/15 07:00:00 AM,7.079,0.0,,,,
352,10/30/15 10:00:00 AM,8.779,226.0,,,,
353,10/30/15 01:00:00 PM,9.077,441.3,,,,
354,10/30/15 04:00:00 PM,8.680,64.6,,,,
355,10/30/15 07:00:00 PM,8.282,0.0,,,,
356,10/30/15 10:00:00 PM,7.983,0.0,,,,
357,10/31/15 01:00:00 AM,8.282,0.0,,,,
358,10/31/15 04:00:00 AM,8.879,0.0,,,,
359,10/31/15 07:00:00 AM,8.879,0.0,,,,
360,10/31/15 10:00:00 AM,8.680,43.1,,,,
361,10/31/15 01:00:00 PM,7.179,129.2,,,,
362,10/31/15 04:00:00 PM,6.471,21.5,,,,
363,10/31/15 07:00:00 PM,6.268,0.0,,,,
364,10/31/15 10:00:00 PM,5.655,0.0,,,,
365,11/01/15 01:00:00 AM,5.552,0.0,,,,
366,11/01/15 04:00:00 AM,5.450,0.0,,,,
367,11/01/15 07:00:00 AM,2.410,0.0,,,,
368,11/01/15 10:00:00 AM,2.088,409.0,,,,
369,11/01/15 01:00:00 PM,2.410,183.0,,,,
370,11/01/15 04:00:00 PM,3.261,75.3,,,,
371,11/01/15 07:00:00 PM,3.367,0.0,,,,
372,11/01/15 10:00:00 PM,3.578,0.0,,,,
373,11/02/15 01:00:00 AM,2.195,0.0,,,,
374,11/02/15 04:00:00 AM,2.943,0.0,,,,
375,11/02/15 07:00:00 AM,3.049,0.0,,,,
376,11/02/15 10:00:00 AM,3.578,968.8,,,,
377,11/02/15 01:00:00 PM,4.311,1722.2,,,,
378,11/02/15 04:00:00 PM,4.102,688.9,,,,
379,11/02/15 07:00:00 PM,3.472,0.0,,,,
380,11/02/15 10:00:00 PM,2.730,0.0,,,,
381,11/03/15 01:00:00 AM,2.517,0.0,,,,
382,11/03/15 04:00:00 AM,2.410,0.0,,,,
383,11/03/15 07:00:00 AM,2.195,0.0,,,,
384,11/03/15 10:00:00 AM,1.980,731.9,,,,
385,11/03/15 01:00:00 PM,1.112,656.6,,,,
386,11/03/15 04:00:00 PM,2.195,1194.8,,,,
387,11/03/15 07:00:00 PM,1.656,0.0,,,,
388,11/03/15 10:00:00 PM,0.121,0.0,,,,
389,11/04/15 01:00:00 AM,0.453,0.0,,,,
390,11/04/15 04:00:00 AM,0.563,0.0,,,,
391,11/04/15 07:00:00 AM,0.453,0.0,,,,
392,11/04/15 10:00:00 AM,0.784,828.8,,,,
393,11/04/15 01:00:00 PM,0.343,139.9,,,,
394,11/04/15 04:00:00 PM,0.674,731.9,,,,
395,11/04/15 07:00:00 PM,0.784,0.0,,,,
396,11/04/15 10:00:00 PM,1.003,0.0,,,,
397,11/05/15 01:00:00 AM,1.221,0.0,,,,
398,11/05/15 04:00:00 AM,1.548,0.0,,,,
399,11/05/15 07:00:00 AM,1.112,0.0,,,,
400,11/05/15 10:00:00 AM,1.872,484.4,,,,
401,11/05/15 01:00:00 PM,2.730,1033.3,,,,
402,11/05/15 04:00:00 PM,3.049,441.3,,,,
403,11/05/15 07:00:00 PM,2.943,0.0,,,,
404,11/05/15 10:00:00 PM,2.410,0.0,,,,
405,11/06/15 01:00:00 AM,2.195,0.0,,,,
406,11/06/15 04:00:00 AM,2.088,0.0,,,,
407,11/06/15 07:00:00 AM,2.624,0.0,,,,
408,11/06/15 10:00:00 AM,3.788,968.8,,,,
409,11/06/15 01:00:00 PM,4.934,710.4,,,,
410,11/06/15 04:00:00 PM,5.037,613.5,,,,
411,11/06/15 07:00:00 PM,5.141,0.0,,,,
412,11/06/15 10:00:00 PM,5.347,0.0,,,,
413,11/07/15 01:00:00 AM,5.244,0.0,,,,
414,11/07/15 04:00:00 AM,5.244,0.0,,,,
415,11/07/15 07:00:00 AM,5.037,0.0,,,,
416,11/07/15 10:00:00 AM,5.450,344.4,,,,
417,11/07/15 01:00:00 PM,5.962,753.5,,,,
418,11/07/15 04:00:00 PM,6.370,344.4,,,,
419,11/07/15 07:00:00 PM,5.962,0.0,,,,
420,11/07/15 10:00:00 PM,5.757,0.0,,,,
421,11/08/15 01:00:00 AM,4.831,0.0,,,,
422,11/08/15 04:00:00 AM,3.155,0.0,,,,
423,11/08/15 07:00:00 AM,3.049,0.0,,,,
424,11/08/15 10:00:00 AM,3.367,1033.3,,,,
425,11/08/15 01:00:00 PM,3.788,430.6,,,,
426,11/08/15 04:00:00 PM,3.788,850.4,,,,
427,11/08/15 07:00:00 PM,3.261,0.0,,,,
428,11/08/15 10:00:00 PM,3.155,0.0,,,,
429,11/09/15 01:00:00 AM,2.837,0.0,,,,
430,11/09/15 04:00:00 AM,2.730,0.0,,,,
431,11/09/15 07:00:00 AM,2.303,0.0,,,,
432,11/09/15 10:00:00 AM,2.517,1011.8,,,,
433,11/09/15 01:00:00 PM,2.943,2152.8,,,,
434,11/09/15 04:00:00 PM,3.049,430.6,,,,
435,11/09/15 07:00:00 PM,2.517,0.0,,,,
436,11/09/15 10:00:00 PM,2.303,0.0,,,,
437,11/10/15 01:00:00 AM,1.439,0.0,,,,
438,11/10/15 04:00:00 AM,0.453,0.0,,,,
439,11/10/15 07:00:00 AM,0.674,0.0,,,,
440,11/10/15 10:00:00 AM,0.563,107.6,,,,
441,11/10/15 01:00:00 PM,0.674,366.0,,,,
442,11/10/15 04:00:00 PM,1.112,796.5,,,,
443,11/10/15 07:00:00 PM,1.221,0.0,,,,
444,11/10/15 10:00:00 PM,1.656,0.0,,,,
445,11/11/15 01:00:00 AM,2.624,0.0,,,,
446,11/11/15 04:00:00 AM,0.674,0.0,,,,
447,11/11/15 07:00:00 AM,0.232,0.0,,,,
448,11/11/15 10:00:00 AM,0.232,129.2,,,,
449,11/11/15 01:00:00 PM,0.343,473.6,,,,
450,11/11/15 04:00:00 PM,0.563,312.2,,,,
451,11/11/15 07:00:00 PM,0.232,0.0,,,,
452,11/11/15 10:00:00 PM,0.232,0.0,,,,
453,11/12/15 01:00:00 AM,0.232,0.0,,,,
454,11/12/15 04:00:00 AM,0.232,0.0,,,,
455,11/12/15 07:00:00 AM,0.232,0.0,,,,
456,11/12/15 10:00:00 AM,0.343,269.1,,,,
457,11/12/15 01:00:00 PM,0.343,376.7,,,,
458,11/12/15 04:00:00 PM,0.453,150.7,,,,
459,11/12/15 07:00:00 PM,2.837,0.0,,,,
460,11/12/15 10:00:00 PM,4.415,0.0,,,,
461,11/13/15 01:00:00 AM,5.037,0.0,,,,
462,11/13/15 04:00:00 AM,5.655,0.0,,,,
463,11/13/15 07:00:00 AM,5.962,0.0,,,,
464,11/13/15 10:00:00 AM,6.064,107.6,,,,
465,11/13/15 01:00:00 PM,6.370,290.6,,,,
466,11/13/15 04:00:00 PM,6.674,43.1,,,,
467,11/13/15 07:00:00 PM,6.674,0.0,,,,
