Year,Site_Loc,Elevation,SDD,gddsdd,gdd25,gdd50
2015,PA-1680m-08,1680,148,435.07246,276.92754,386.0935308
2011,PA-1680m-09,1680,217,476.8722023,272.1277977,294.4213849
2012,PA-1680m-09,1680,198,492.6996809,307.3003191,305.7324644
2013,PA-1680m-09,1680,183,500.8166245,319.1833755,324.6263721
2014,PA-1680m-09,1680,188,522.6777806,345.3222194,340.61464
2015,PA-1680m-09,1680,138,357.5404286,254.4595714,360.8672509
2011,PA-1680m-09s,1680,223,523.1422757,275.8577243,289.7048435
2012,PA-1680m-09s,1680,196,470.5543105,306.4456895,312.385794
2013,PA-1680m-09s,1680,184,518.1607419,312.8392581,329.6122157
2014,PA-1680m-09s,1680,190,552.0022345,354.9977655,332.2736028
2015,PA-1680m-09s,1680,130,324.1204294,179.8795706,321.1286697
2011,PA-1680m-10,1680,233,621.9020893,345.0979107,162.6732372
2012,PA-1680m-10,1680,215,677.6595375,363.3404625,287.6732165
2013,PA-1680m-10,1680,201,714.8578796,340.1421204,305.6228155
2014,PA-1680m-10,1680,206,758.6431522,376.3568478,245.0562838
2015,PA-1680m-10,1680,154,499.9216218,304.0783782,371.2012849
2011,PA-1791m-01,1791,214,392.1004496,256.8995504,289.2995036
2012,PA-1791m-01,1791,190,353.5461801,303.4538199,360.7679397
2013,PA-1791m-01,1791,181,425.241985,333.758015,335.0423729
2014,PA-1791m-01,1791,181,414.0866343,317.9133657,384.1311746
2015,PA-1791m-01,1791,149,419.1135835,268.8864165,390.1380991
2011,PA-1791m-01s,1791,217,424.1593495,267.8406505,283.6807604
2012,PA-1791m-01s,1791,197,463.1810025,300.8189975,306.5950319
2013,PA-1791m-01s,1791,184,479.9962166,324.0037834,328.2613474
2014,PA-1791m-01s,1791,189,505.1419713,361.8580287,337.9543164
2015,PA-1791m-01s,1791,138,330.8129589,250.1870411,361.119261
2011,PA-1791m-02,1791,236,605.1349602,309.8650398,140.9321376
2012,PA-1791m-02,1791,216,666.4437757,361.5562243,290.4997714
2013,PA-1791m-02,1791,203,710.2815824,347.7184176,296.3563735
2014,PA-1791m-02,1791,207,740.4834809,388.5165191,236.9684244
2015,PA-1791m-02,1791,158,505.8369146,340.1630854,322.6021144
2012,PA-1791m-03,1791,186,307.2376189,310.7623811,362.0797773
2013,PA-1791m-03,1791,177,380.7774303,314.2225697,350.6281764
2014,PA-1791m-03,1791,184,451.9143894,318.0856106,374.9693944
2015,PA-1791m-03,1791,154,468.9175297,301.0824703,370.5810672
2011,PA-1791m-03s,1791,224,478.3708541,276.6291459,276.2558658
2012,PA-1791m-03s,1791,199,482.1463357,308.8536643,302.204344
2013,PA-1791m-03s,1791,194,580.3324387,348.6675613,313.6845558
2014,PA-1791m-03s,1791,197,643.1462851,344.8537149,279.2610655
2015,PA-1791m-03s,1791,147,398.0541193,267.9458807,391.7308577
2011,PA-1791m-04,1791,242,692.3192396,283.6807604,101.5975672
2012,PA-1791m-04,1791,226,826.3800333,292.6199667,305.8624534
2013,PA-1791m-04,1791,207,775.7449622,329.2550378,322.382271
2014,PA-1791m-04,1791,215,886.9127678,333.0872322,255.7968051
2015,PA-1791m-04,1791,158,505.8369146,340.1630854,322.6021144
2011,PA-1791m-05,1791,219,439.8722107,259.1277893,297.7835393
2012,PA-1791m-05,1791,191,373.0211764,292.9788236,361.5562243
2013,PA-1791m-05,1791,182,443.0844874,332.9155126,329.2550378
2014,PA-1791m-05,1791,188,490.6381395,356.3618605,342.243993
2015,PA-1791m-05,1791,155,472.2986478,320.7013522,357.4009321
2011,PA-1791m-05s,1791,221,459.4197278,254.5802722,290.2478841
2012,PA-1791m-05s,1791,202,526.6526469,317.3473531,290.0579686
2013,PA-1791m-05s,1791,186,499.4880577,326.5119423,333.3820611
2014,PA-1791m-05s,1791,190,521.203211,365.796789,333.0872322
2015,PA-1791m-05s,1791,147,398.0541193,267.9458807,391.7308577
2011,PA-1791m-06,1791,244,699.2164607,297.7835393,88.75912671
2012,PA-1791m-06,1791,227,843.9420314,290.0579686,297.2235357
2013,PA-1791m-06,1791,213,854.5582828,322.4417172,310.4056842
2014,PA-1791m-06,1791,217,925.6264011,314.3735989,259.3239513
2015,PA-1791m-06,1791,158,505.8369146,340.1630854,322.6021144
2011,PA-1791m-07,1791,221,459.4197278,254.5802722,290.2478841
2012,PA-1791m-07,1791,195,436.7556213,299.2443787,320.7216152
2013,PA-1791m-07,1791,187,505.6575832,334.3424168,328.2064366
2014,PA-1791m-07,1791,190,521.203211,365.796789,333.0872322
2015,PA-1791m-07,1791,150,432.913211,265.086789,396.7128572
2011,PA-1791m-07s,1791,210,350.8511,244.1489,318.2247535
2012,PA-1791m-07s,1791,182,285.0571219,283.9428781,366.44546
2013,PA-1791m-07s,1791,178,387.0725461,322.9274539,347.7184176
2014,PA-1791m-07s,1791,178,400.4144413,311.5855587,362.2211914
2015,PA-1791m-07s,1791,142,367.5184677,251.4815323,392.2606856
2012,PA-1791m-08,1791,227,843.9420314,290.0579686,297.2235357
2013,PA-1791m-08,1791,216,882.389526,324.610474,297.5293614
2014,PA-1791m-08,1791,218,941.366222,304.633778,259.9841994
2015,PA-1791m-08,1791,162,569.9531586,354.0468414,298.1730261
2011,PA-1791m-09,1791,230,530.2914302,336.7085698,177.9555719
2012,PA-1791m-09,1791,205,551.656403,342.343597,266.0120939
2013,PA-1791m-09,1791,189,529.5254418,335.4745582,320.4318226
2014,PA-1791m-09,1791,195,605.1628825,358.8371175,294.0587677
2015,PA-1791m-09,1791,154,468.9175297,301.0824703,370.5810672
2011,PA-1791m-09s,1791,201,284.0801156,214.9198844,290.9534254
2012,PA-1791m-09s,1791,188,322.4878361,314.5121639,355.1291803
2013,PA-1791m-09s,1791,173,354.9284729,275.0715271,360.5995976
2014,PA-1791m-09s,1791,171,344.6127272,278.3872728,350.9192388
2015,PA-1791m-09s,1791,142,367.5184677,251.4815323,392.2606856
2012,PA-1791m-10,1791,228,859.5267415,291.4732585,283.4083841
2013,PA-1791m-10,1791,217,897.0285042,320.9714958,289.3363195
2014,PA-1791m-10,1791,221,974.0365223,288.9634777,260.8387063
2015,PA-1791m-10,1791,151,444.4192851,265.5807149,403.1447647
2010,PA-1901m-01,1901,183,242.5286054,275.4713946,320.6898109
2011,PA-1901m-01,1901,205,298.0661546,222.9338454,329.7479228
2012,PA-1901m-01,1901,188,314.6896452,313.3103548,353.2034272
2013,PA-1901m-01,1901,160,286.0015354,184.9984646,318.8286705
2014,PA-1901m-01,1901,170,341.3064005,269.6935995,350.6732718
2015,PA-1901m-01,1901,140,347.5058112,238.4941888,376.6952719
2012,PA-1901m-01s,1901,212,619.7679891,354.2320109,251.6884375
2013,PA-1901m-01s,1901,186,479.1402929,322.8597071,327.9310897
2014,PA-1901m-01s,1901,195,611.3267282,350.6732718,286.2461957
2015,PA-1901m-01s,1901,152,456.451701,258.548299,393.1270881
2010,PA-1901m-03,1901,180,233.5550488,236.4449512,336.4724694
2011,PA-1901m-03,1901,189,214.5567708,166.4432292,256.733251
2012,PA-1901m-03,1901,182,279.1082079,279.8917921,365.002408
2013,PA-1901m-03,1901,178,367.2821615,323.7178385,338.5805798
2014,PA-1901m-03,1901,175,379.8779816,314.1220184,348.1563579
2015,PA-1901m-03,1901,154,466.5937356,292.4062644,362.9030878
2011,PA-1901m-03s,1901,243,685.8524186,290.1475814,86.27577355
2012,PA-1901m-03s,1901,199,472.3278729,310.6721271,295.1196598
2013,PA-1901m-03s,1901,186,479.1402929,322.8597071,327.9310897
2014,PA-1901m-03s,1901,195,611.3267282,350.6732718,286.2461957
2015,PA-1901m-03s,1901,155,469.6235865,311.3764135,349.4335838
2010,PA-1901m-04,1901,216,626.9029231,280.0970769,136.6049083
2013,PA-1901m-04,1901,200,645.4412569,342.5587431,297.5584357
2014,PA-1901m-04,1901,208,759.8063982,371.1936018,241.467389
2015,PA-1901m-04,1901,169,633.4874773,378.5125227,290.5663945
2010,PA-1901m-05,1901,190,297.0768533,316.9231467,289.5744942
2011,PA-1901m-05,1901,220,439.3906511,254.6093489,290.0343854
2012,PA-1901m-05,1901,196,438.190884,307.809116,303.4575479
2013,PA-1901m-05,1901,182,421.4973826,332.5026174,320.9072216
2014,PA-1901m-05,1901,190,524.7630962,364.2369038,325.3824554
2015,PA-1901m-05,1901,158,501.9040642,331.0959358,316.4102964
2011,PA-1901m-05s,1901,235,584.9676651,312.0323349,138.7614095
2012,PA-1901m-05s,1901,210,599.5473463,364.4526537,234.2965139
2013,PA-1901m-05s,1901,197,592.4389498,357.5610502,302.7079861
2014,PA-1901m-05s,1901,204,728.5041833,351.4958167,250.6907731
2015,PA-1901m-05s,1901,163,575.4330143,351.5669857,294.4900322
2010,PA-1901m-07,1901,201,417.7960332,319.2039668,222.277509
2011,PA-1901m-07,1901,221,449.5662538,252.4337462,285.2958226
2012,PA-1901m-07,1901,193,396.4402831,293.5597169,338.2361175
2013,PA-1901m-07,1901,183,441.6011505,328.3988495,316.1893664
2014,PA-1901m-07,1901,188,493.8011421,357.1988579,331.7454344
2015,PA-1901m-07,1901,159,519.1374519,332.8625481,301.6023458
2010,PA-1901m-07s,1901,214,601.8114106,299.1885894,137.0445091
2011,PA-1901m-07s,1901,222,455.533796,256.466204,277.5019606
2012,PA-1901m-07s,1901,217,671.9298349,351.0701651,282.7541385
2013,PA-1901m-07s,1901,201,661.6001918,341.3998082,291.7476895
2014,PA-1901m-07s,1901,209,776.5453333,362.4546667,248.7189633
2015,PA-1901m-07s,1901,169,633.4874773,378.5125227,290.5663945
2010,PA-1901m-09,1901,212,580.3750052,293.6249948,155.719564
2011,PA-1901m-09,1901,232,541.849504,340.150496,148.3706419
2012,PA-1901m-09,1901,203,526.2456442,323.7543558,283.7047275
2013,PA-1901m-09,1901,194,558.6201885,344.3798115,308.3073502
2014,PA-1901m-09,1901,199,681.7066745,344.2933255,253.588225
2015,PA-1901m-09,1901,169,633.4874773,378.5125227,290.5663945
2010,PA-1901m-09s,1901,222,694.0179963,250.9820037,150.0662439
2011,PA-1901m-09s,1901,224,469.5413796,271.4586204,272.7033359
2012,PA-1901m-09s,1901,223,770.0627309,295.9372691,305.9278321
2013,PA-1901m-09s,1901,209,780.8455459,322.1544541,327.8294283
2014,PA-1901m-09s,1901,217,925.0993577,306.9006423,257.8315553
2015,PA-1901m-09s,1901,177,714.8729119,393.1270881,308.7995003
