Year,Site_Loc,calibration,snow_appearance_date,snow_disappearance_date,snow_cover_duration,minimum_soil_temp,SDD,duplicate,single
2018,GB-1940-09,0.321564078,9/20/2017,6/17/2018,261,0.121,168,,
2017,GB-2020-01,0.371231311,10/11/2016,7/4/2017,267,0.121,185,,
2018,GB-2020-01,0.285461255,9/20/2017,6/23/2018,270,0.121,174,,
2018,GB-2020-03,0.401695425,10/8/2017,6/13/2018,249,0.232,164,,single
2017,GB-2020-04,0.216097985,10/11/2016,7/9/2017,271,0.121,190,,
2018,GB-2020-04,0.160841975,9/19/2017,6/25/2018,269,-0.774,176,,
2017,GB-2020-05,0.248853939,10/5/2016,7/9/2017,273,0.121,190,,
2018,GB-2020-05,0.205042883,9/19/2017,6/25/2018,273,0.121,176,,
2017,GB-2020-06,0.349834242,10/12/2016,7/9/2017,271,0.121,190,,
2018,GB-2020-06,0.27130292,9/21/2017,6/26/2018,271,0.01,177,,
2017,GB-2020-07,0.282099442,10/15/2016,7/8/2017,267,0.232,189,,
2018,GB-2020-07,0.215791353,9/20/2017,6/27/2018,264,0.121,178,,
2017,GB-2020-08,0.309960447,10/12/2016,7/12/2017,272,0.121,193,,
2018,GB-2020-08,0.326471014,9/22/2017,7/2/2018,272,0.232,183,,
2017,GB-2020-09,0.4084625,10/12/2016,7/12/2017,274,0.121,193,,single
2016,PA-1490m-01,0.459230015,11/3/2015,6/5/2016,216,0.121,157,,
2017,PA-1490m-01,0.471853909,10/17/2016,7/5/2017,239,0.121,186,,
2018,PA-1490m-01,0.400702244,9/21/2017,6/28/2018,257,0.121,179,,
2017,PA-1490m-01s,0.730700203,11/18/2016,7/9/2017,234,0.232,190,,
2018,PA-1490m-01s,0.6327574,10/11/2017,6/30/2018,253,0.232,181,,
2016,PA-1490m-02,0.312555185,11/5/2015,6/15/2016,220,0.121,167,duplicate,
2016,PA-1490m-02,0.361353972,11/2/2015,6/1/2016,213,0.121,153,duplicate,
2016,PA-1490m-03,0.443868697,10/27/2015,6/22/2016,235,0.121,174,duplicate,
2016,PA-1490m-03,0.473625372,10/27/2015,6/15/2016,220,0.121,167,duplicate,
2017,PA-1490m-03s,0.82497942,11/17/2016,7/8/2017,234,0.121,189,,
2018,PA-1490m-03s,0.47384085,10/11/2017,6/30/2018,254,0.121,181,,
2016,PA-1490m-04,0.267305797,11/2/2015,6/18/2016,230,0.121,170,,single
2017,PA-1490m-05,0.617794349,10/18/2016,6/25/2017,223,0.232,176,,
2018,PA-1490m-05,0.488265471,10/12/2017,6/17/2018,235,0.232,168,,
2016,PA-1490m-05s,0.45947619,10/27/2015,6/26/2016,234,0.121,178,,
2017,PA-1490m-05s,0.53987621,11/17/2016,7/8/2017,234,0.121,189,,
2018,PA-1490m-05s,0.51874717,10/4/2017,7/1/2018,264,0.232,182,,
2016,PA-1490m-06,0.751351116,11/6/2015,6/26/2016,226,0.232,178,,
2017,PA-1490m-06,0.121767467,10/18/2016,7/1/2017,229,-4.152,182,,
2018,PA-1490m-06,0.259349673,10/11/2017,6/23/2018,254,0.121,174,,
2016,PA-1490m-07,0.597984399,11/3/2015,6/1/2016,212,0.121,153,,single
2016,PA-1490m-07s,0.595537271,10/27/2015,6/23/2016,234,0.232,175,,single
2016,PA-1490m-08,0.408828216,11/2/2015,6/15/2016,227,0.232,167,,
2017,PA-1490m-08,0.340695887,10/18/2016,7/1/2017,230,0.232,182,,
2018,PA-1490m-08,0.274344551,10/5/2017,6/25/2018,259,0.121,176,,
2016,PA-1490m-09,0.377784357,11/2/2015,6/15/2016,227,0.232,167,,
2017,PA-1490m-09,0.50297695,10/18/2016,6/28/2017,228,0.121,179,,
2018,PA-1490m-09,0.307109929,10/12/2017,6/16/2018,234,0.121,167,,
2016,PA-1490m-10,0.332781159,11/2/2015,6/16/2016,228,0.121,168,,
2017,PA-1490m-10,0.361023963,10/12/2016,7/1/2017,231,0.121,182,,
2018,PA-1490m-10,0.357777671,10/11/2017,6/25/2018,256,0.121,176,,
2016,PA-1570m-01,0.478992275,10/27/2015,6/17/2016,230,0.121,169,,
2017,PA-1570m-01,0.408920348,10/16/2016,7/6/2017,245,0.121,187,,
2018,PA-1570m-01,0.338726145,9/20/2017,7/2/2018,260,0.121,183,,
2017,PA-1570m-01s,0.248819963,10/15/2016,7/20/2017,268,0.121,201,,
2018,PA-1570m-01s,0.187865455,10/10/2017,7/14/2018,274,0.01,195,,
2016,PA-1570m-02,0.309891206,10/27/2015,6/19/2016,233,0.01,171,,
2017,PA-1570m-02,0.125854167,10/15/2016,7/14/2017,256,-5.62,195,,
2018,PA-1570m-02,0.33200227,9/20/2017,6/23/2018,256,0.121,174,,
2016,PA-1570m-03,0.466873418,10/27/2015,6/21/2016,234,0.121,173,,
2016,PA-1570m-03,0.530561384,10/27/2015,6/15/2016,218,0.121,167,,
2017,PA-1570m-03s,0.335173818,10/16/2016,7/15/2017,268,0.232,196,,
2018,PA-1570m-03s,0.281524702,9/22/2017,7/11/2018,279,0.121,192,,
2016,PA-1570m-04,0.295460055,11/2/2015,6/29/2016,241,0.121,181,,
2017,PA-1570m-04,0.767368949,10/20/2016,6/26/2017,231,0.343,177,,
2018,PA-1570m-04,0.585451245,10/13/2017,6/17/2018,234,0.232,168,,
2016,PA-1570m-05,0.171,10/27/2015,7/2/2016,246,0.01,184,,
2017,PA-1570m-05,0.334545125,10/15/2016,7/3/2017,252,0.121,184,,
2018,PA-1570m-05,0.474182631,9/21/2017,6/28/2018,258,0.232,179,,
2016,PA-1570m-05s,0.634476917,11/5/2015,6/1/2016,210,0.232,153,,single
2016,PA-1570m-06,0.205633199,10/27/2015,7/6/2016,249,0.01,188,,
2017,PA-1570m-06,0.475438578,10/16/2016,6/22/2017,229,0.121,173,,
2018,PA-1570m-06,0.412703125,10/13/2017,6/14/2018,235,0.121,165,,
2016,PA-1570m-07,0.438058057,11/2/2015,5/29/2016,210,0.232,150,,
2017,PA-1570m-07,0.37552008,10/15/2016,7/3/2017,246,0.121,184,,
2017,PA-1570m-07s,0.302423792,10/15/2016,7/14/2017,269,0.121,195,,
2018,PA-1570m-07s,0.325815985,10/11/2017,7/8/2018,266,0.121,189,,
2016,PA-1570m-08,0.76234697,11/6/2015,6/5/2016,213,0.343,157,duplicate,
2016,PA-1570m-08,0.300947569,10/27/2015,6/27/2016,239,0.121,179,duplicate,
2016,PA-1570m-09,0.433889884,10/27/2015,6/15/2016,228,0.121,167,duplicate,
2016,PA-1570m-09,0.609599605,11/2/2015,6/15/2016,204,0.121,167,duplicate,
2016,PA-1570m-09s,0.458179648,11/2/2015,5/16/2016,197,0.121,137,,single
2016,PA-1570m-10,0.210605556,10/27/2015,6/26/2016,240,0.01,178,,single
2016,PA-1680m-01,0.391475104,10/27/2015,6/22/2016,237,0.121,174,duplicate,
2016,PA-1680m-01,0.493682593,10/27/2015,6/16/2016,219,0.121,168,duplicate,
2016,PA-1680m-01s,0.410153846,11/3/2015,7/2/2016,243,0.01,184,,
2016,PA-1680m-02,0.309677305,10/27/2015,6/19/2016,232,0.01,171,,
2017,PA-1680m-02,0.137381167,10/15/2016,7/18/2017,277,-6.12,199,,
2018,PA-1680m-02,0.291277485,10/9/2017,7/14/2018,279,0.121,195,,
2016,PA-1680m-03,0.70313247,10/27/2015,6/24/2016,237,0.121,176,,
2017,PA-1680m-03,0.776337769,10/16/2016,7/6/2017,247,0.232,187,,
2018,PA-1680m-03,0.754193934,9/23/2017,7/4/2018,259,0.121,185,,
2017,PA-1680m-03s,0.362978142,10/15/2016,6/21/2017,244,0.121,172,,
2018,PA-1680m-03s,0.393272423,9/20/2017,6/14/2018,248,0.121,165,,
2016,PA-1680m-04,0.474905367,11/2/2015,6/21/2016,233,0.121,173,duplicate,
2016,PA-1680m-04,0.18441537,10/27/2015,7/13/2016,257,0.121,195,duplicate,
2016,PA-1680m-05,0.482593391,11/2/2015,6/18/2016,230,0.232,170,,
2017,PA-1680m-05,0.334951791,10/15/2016,7/5/2017,239,0.121,186,,
2017,PA-1680m-05s,0.255915033,10/15/2016,7/1/2017,255,0.121,182,,
2018,PA-1680m-05s,0.412810636,9/23/2017,6/23/2018,251,0.121,174,,
2016,PA-1680m-06,0.393583717,10/27/2015,6/16/2016,217,0.121,168,,
2017,PA-1680m-06,0.231031775,10/15/2016,7/20/2017,278,0.121,201,,
2018,PA-1680m-06,0.221487135,9/22/2017,7/15/2018,282,0.121,196,,
2016,PA-1680m-07,0.286323628,10/27/2015,7/5/2016,249,0.121,187,duplicate,
2016,PA-1680m-07,0.856755365,10/27/2015,6/16/2016,219,0.121,168,duplicate,
2016,PA-1680m-07s,0.454233405,10/27/2015,6/17/2016,230,0.232,169,,single
2016,PA-1680m-08,0.193036499,10/27/2015,7/13/2016,257,0.121,195,,
2017,PA-1680m-08,0.328868959,10/15/2016,7/15/2017,269,0.232,196,,
2018,PA-1680m-08,0.348678614,10/9/2017,7/11/2018,276,0.121,192,,
2016,PA-1680m-09,0.205633199,10/27/2015,7/6/2016,249,0.01,188,,
2017,PA-1680m-09,0.395604974,10/15/2016,7/5/2017,258,0.232,186,,
2018,PA-1680m-09,0.369464374,9/20/2017,7/3/2018,269,0.121,184,,
2017,PA-1680m-09s,0.365078811,10/15/2016,7/4/2017,257,0.121,185,,
2018,PA-1680m-09s,0.407861323,10/10/2017,6/28/2018,255,0.121,179,,
2016,PA-1680m-10,0.194460938,10/27/2015,7/13/2016,256,0.121,195,,single
2016,PA-1791m-01,0.512814926,10/29/2015,6/30/2016,243,0.121,182,,
2017,PA-1791m-01,0.411219612,10/15/2016,7/6/2017,265,0.121,187,,
2018,PA-1791m-01,0.210925189,9/20/2017,6/26/2018,263,0.01,177,,
2016,PA-1791m-01s,0.377234848,11/2/2015,6/29/2016,241,0.01,181,,single
2016,PA-1791m-02,0.422297569,11/2/2015,6/21/2016,233,0.121,173,,
2017,PA-1791m-02,0.30436756,10/15/2016,7/21/2017,280,0.121,202,,
2018,PA-1791m-02,0.410337963,10/8/2017,7/14/2018,280,0.121,195,,
2016,PA-1791m-03,0.432024011,11/2/2015,6/20/2016,232,0.121,172,duplicate,
2016,PA-1791m-03,0.482690725,10/28/2015,6/22/2016,237,0.232,174,duplicate,
2017,PA-1791m-03s,0.356689583,10/15/2016,7/21/2017,280,0.232,202,,
2018,PA-1791m-03s,0.478587753,10/15/2017,7/6/2018,256,0.232,187,,
2016,PA-1791m-04,0.395943416,10/27/2015,6/28/2016,242,0.121,180,,
2017,PA-1791m-04,0.221389976,10/16/2016,7/21/2017,279,0.01,202,,
2018,PA-1791m-04,0.366441043,10/11/2017,7/19/2018,282,0.01,200,,
2016,PA-1791m-05,0.243939153,10/26/2015,7/5/2016,252,0.01,187,duplicate,
2016,PA-1791m-05,0.424018027,10/29/2015,6/29/2016,243,0.232,181,duplicate,
2017,PA-1791m-05s,0.350480793,10/16/2016,7/11/2017,267,0.121,192,duplicate,
2018,PA-1791m-05s,0.431045513,10/11/2017,7/1/2018,255,0.121,182,,
2016,PA-1791m-06,0.173032101,10/29/2015,7/11/2016,255,0.01,193,duplicate,
2016,PA-1791m-06,0.285708333,11/1/2015,7/16/2016,259,0.121,198,duplicate,
2016,PA-1791m-07,0.217148457,10/26/2015,7/24/2016,270,0.121,206,,
2017,PA-1791m-07,0.113276892,10/15/2016,7/5/2017,248,-1.914,186,,
2018,PA-1791m-07,0.530709505,10/9/2017,6/22/2018,244,0.121,173,,
2016,PA-1791m-07s,0.44714369,10/29/2015,6/26/2016,240,0.121,178,,single
2016,PA-1791m-08,0.264938971,10/28/2015,7/22/2016,266,0.121,204,duplicate,
2016,PA-1791m-08,0.348084606,10/29/2015,7/15/2016,258,0.121,197,duplicate,
2016,PA-1791m-09,0.334696705,11/2/2015,7/13/2016,255,0.121,195,,
2017,PA-1791m-09,0.486196654,10/16/2016,7/7/2017,260,0.121,188,,
2017,PA-1791m-09s,0.393458647,10/16/2016,7/7/2017,264,0.232,188,,
2018,PA-1791m-09s,0.50933138,10/11/2017,6/18/2018,247,0.121,169,,
2017,PA-1791m-10,0.173403263,10/15/2016,7/28/2017,286,0.01,209,,
2018,PA-1791m-10,0.253605293,9/22/2017,7/24/2018,290,0.121,205,,
2016,PA-1901m-01,0.199585048,10/26/2015,6/26/2016,243,0.121,178,,
2017,PA-1901m-01,0.310085374,10/15/2016,6/15/2017,244,-0.549,166,,
2018,PA-1901m-01,0.443943791,10/8/2017,6/16/2018,246,0.121,167,,
2017,PA-1901m-01s,0.287284537,10/7/2016,7/1/2017,260,-0.774,182,,
2018,PA-1901m-01s,0.445950244,10/5/2017,6/28/2018,263,0.121,179,,
2016,PA-1901m-02,0.305548354,10/26/2015,6/26/2016,243,0.121,178,,single
2016,PA-1901m-03,0.206770833,10/26/2015,6/15/2016,224,0.121,167,duplicate,
2016,PA-1901m-03,0.267489015,10/27/2015,6/3/2016,219,0.121,155,duplicate,
2016,PA-1901m-03s,0.376143347,10/26/2015,6/29/2016,247,0.121,181,,single
2016,PA-1901m-04,0.219942999,10/26/2015,7/20/2016,269,0.121,202,,
2017,PA-1901m-04,0.329348844,10/5/2016,7/10/2017,273,0.121,191,,
2018,PA-1901m-04,0.271624392,10/2/2017,7/5/2018,269,0.01,186,,
2016,PA-1901m-05,0.214183524,10/26/2015,7/14/2016,262,0.121,196,,
2017,PA-1901m-05,0.317594189,10/7/2016,6/30/2017,260,0.121,181,,
2018,PA-1901m-05,0.380617879,9/25/2017,6/30/2018,268,0.121,181,,
2017,PA-1901m-05s,0.326995471,10/5/2016,7/13/2017,276,-0.774,194,,
2018,PA-1901m-05s,0.40853046,10/4/2017,7/12/2018,282,0.121,193,,
2016,PA-1901m-06,0.219124658,10/26/2015,6/27/2016,244,0.01,179,duplicate,
2016,PA-1901m-06,0.260607948,10/26/2015,8/3/2016,281,0.121,216,duplicate,
2016,PA-1901m-07,0.319120403,10/27/2015,8/2/2016,280,0.121,215,,
2017,PA-1901m-07,0.226577673,10/5/2016,7/3/2017,263,0.121,184,,
2018,PA-1901m-07,0.339692506,10/8/2017,6/22/2018,251,0.121,173,,
2017,PA-1901m-07s,0.227219591,10/5/2016,7/19/2017,283,0.121,200,,
2018,PA-1901m-07s,0.338139731,9/20/2017,7/17/2018,296,0.121,198,,
2016,PA-1901m-08,0.251725031,10/26/2015,7/24/2016,272,0.121,206,,
2017,PA-1901m-08,0.211437571,10/5/2016,8/1/2017,294,0.121,213,,
2018,PA-1901m-08,0.299335265,10/3/2017,7/25/2018,294,0.121,206,,
2016,PA-1901m-09,0.195275,10/26/2015,7/12/2016,260,0.121,194,duplicate,
2016,PA-1901m-09,0.26625645,10/26/2015,7/12/2016,260,0.121,194,duplicate,
2016,PA-1901m-09s,0.269158756,10/26/2015,7/27/2016,275,0.121,209,,
2017,PA-1901m-09s,0.241733275,10/5/2016,7/22/2017,284,0.121,203,,
2018,PA-1901m-09s,0.427559851,10/8/2017,7/16/2018,282,0.232,197,,
2016,PA-1901m-10,0.241029317,10/26/2015,7/30/2016,277,0.121,212,,single
